# filename total_packets tcp_packets udp_packets total_bytes connections dns_queries dns_responses
node-fetch-google-x10-tcp-2 268 224 44 118995 11 22 22
node-fetch-google-x10-tcp-1 269 225 44 119048 11 22 22
node-fetch-google-x10-tcp-4 268 224 44 118993 11 22 22
node-fetch-google-x10-tcp-3 270 226 44 119127 11 22 22
node-fetch-google-x10-tcp-6 269 225 44 119048 11 22 22
node-fetch-google-x10-tcp-5 269 225 44 119048 11 22 22
node-fetch-google-x10-tcp-8 265 221 44 118796 11 22 22
node-fetch-google-x10-tcp-9 266 222 44 118861 11 22 22
node-fetch-google-x10-tcp-7 270 226 44 119138 11 22 22
node-fetch-google-x100-tcp-seq1-3 2516 2112 404 1109388 101 202 202
node-fetch-google-x100-tcp-seq1-0 2489 2093 396 1105690 99 198 198
node-fetch-google-x100-tcp-seq1-2 2504 2100 404 1105935 101 202 202
node-fetch-google-x100-tcp-seq1-4 2495 2091 404 1105388 101 202 202
node-fetch-google-x100-tcp-seq1-1 2502 2098 404 1105815 101 202 202
node-fetch-google-x100-tcp-seq1-5 2499 2095 404 1107516 101 202 202
node-fetch-google-x100-tcp-seq1-6 2498 2094 404 1105610 101 202 202
node-fetch-google-x100-tcp-seq10-1 2642 2210 432 1178522 108 216 216
node-fetch-google-x100-tcp-seq1-7 2501 2097 404 1105832 101 202 202
node-fetch-google-x100-tcp-seq1-9 2504 2100 404 1105982 101 202 202
node-fetch-google-x100-tcp-seq1-8 2507 2103 404 1108115 101 202 202
node-fetch-google-x100-tcp-seq10-2 2668 2228 440 1189079 110 220 220
node-fetch-google-x100-tcp-seq10-0 2666 2230 436 1189202 109 218 218
node-fetch-google-x100-tcp-seq10-7 2555 2155 400 1148287 100 200 200
node-fetch-google-x100-tcp-seq10-6 2686 2246 440 1191131 110 220 220
node-fetch-google-x100-tcp-seq10-3 2666 2226 440 1190396 110 220 220
node-fetch-google-x100-tcp-seq10-4 2681 2241 440 1189992 110 220 220
node-fetch-google-x100-tcp-seq25-0 2930 2434 496 1322487 124 248 248
node-fetch-google-x100-tcp-seq10-5 2659 2223 436 1184430 109 218 218
node-fetch-google-x100-tcp-seq10-8 2690 2250 440 1190980 110 220 220
node-fetch-google-x100-tcp-seq25-2 2947 2447 500 1328077 125 250 250
node-fetch-google-x100-tcp-seq10-9 2679 2239 440 1190362 110 220 220
node-fetch-google-x100-tcp-seq25-6 2916 2428 488 1312631 122 244 244
node-fetch-google-x100-tcp-seq25-4 2941 2445 496 1323184 124 248 248
node-fetch-google-x100-tcp-seq25-1 2894 2406 488 1311175 122 244 244
node-fetch-google-x100-tcp-seq25-3 2885 2401 484 1306189 121 242 242
node-fetch-google-x100-tcp-seq25-5 2927 2431 496 1322322 124 248 248
node-fetch-google-x100-tcp-seq25-9 2699 2271 428 1251265 107 214 214
node-fetch-google-x100-tcp-seq25-7 2933 2437 496 1322672 124 248 248
node-fetch-google-x100-tcp-seq25-8 2918 2426 492 1317300 123 246 246
node-fetch-google-x100-tcp-seq50-0 3367 2783 584 1538866 146 292 292
node-fetch-google-x100-tcp-seq50-2 3373 2789 584 1539248 146 292 292
node-fetch-google-x100-tcp-seq50-1 3345 2765 580 1535020 145 290 290
node-fetch-google-x100-tcp-seq50-4 3363 2771 592 1547444 148 296 296
node-fetch-google-x100-tcp-seq50-3 3331 2751 580 1532071 145 290 290
node-fetch-google-x100-tcp-seq50-6 3308 2732 576 1526054 144 288 288
node-fetch-google-x100-tcp-seq50-5 3254 2682 572 1518081 143 286 286
faith-google-x1-tcp-0 46 46 0 12773 0 0 0
node-fetch-google-x100-tcp-seq50-8 3242 2702 540 1521307 135 270 270
node-fetch-google-x100-tcp-seq50-9 3336 2756 580 1532384 145 290 290
node-fetch-google-x100-tcp-seq50-7 3317 2733 584 1535842 146 292 292
faith-google-x1-tcp-1 49 49 0 13056 0 0 0
faith-google-x1-tcp-2 48 48 0 12916 0 0 0
faith-google-x1-tcp-4 60 50 8 15404 1 4 6
faith-google-x1-tcp-3 64 54 8 15772 1 4 6
faith-google-x1-tcp-5 62 52 8 15542 1 4 6
faith-google-x1-tcp-6 48 48 0 12991 0 0 0
faith-google-x1-tcp-7 60 50 8 15372 1 4 6
faith-google-x1-tcp-9 59 49 8 15365 1 4 6
faith-google-x10-tcp-1 278 268 8 67919 1 4 6
faith-google-x1-tcp-8 42 36 4 15040 0 0 6
faith-google-x10-tcp-2 231 231 0 63203 0 0 0
faith-google-x10-tcp-0 274 271 2 66901 1 0 3
faith-google-x10-tcp-3 218 208 8 132159 0 4 6
faith-google-x10-tcp-4 218 218 0 135525 0 0 0
faith-google-x10-tcp-9 220 210 8 119173 0 4 6
faith-google-x10-tcp-5 280 270 8 68131 1 4 6
faith-google-x10-tcp-6 277 271 4 67710 1 0 6
faith-google-x10-tcp-8 265 265 0 65405 0 0 0
faith-google-x100-tcp-seq1-0 2275 2275 0 580372 0 0 0
faith-google-x10-tcp-7 268 258 8 67341 1 4 6
